0|iata_code|1|name_rus|2|name_eng|3|city_rus|4|city_eng|5|country_rus|6|latitude|7|longitude
CSM|CSM|||Sherman|Sherman|||Clinton|Clinton|США|США|35.339839|35.339839|-99.200498|-99.200498
CSN|CSN|||Carson City|Carson City|||Carson City|Carson City|США|США|39.192304|39.192304|-119.732570|-119.732570
CSO|CSO|||Cochstedt|Cochstedt|||Cochstedt|Cochstedt|Германия|Германия|51.854992|51.854992|11.418889|11.418889
CSP|CSP|||Coast Guard Heliport|Coast Guard Heliport|||Cape Spencer|Cape Spencer|Канада|Канада|58.199069|58.199069|-136.638811|-136.638811
CSQ|CSQ|||Municipal|Municipal|||Creston|Creston|США|США|41.021444|41.021444|-94.363305|-94.363305
CSR|CSR|Касуарито|Касуарито|Casuarito|Casuarito|Касуарито|Касуарито|Casuarito|Casuarito|Колумбия|Колумбия|5.833|5.833|-68.133|-68.133
CSS|CSS|||Cassilandia|Cassilandia|||Cassilandia|Cassilandia|Бразилия|Бразилия|-19.146388|-19.146388|-51.685277|-51.685277
CST|CST|Кастэвей|Кастэвей|Castaway|Castaway|Кастэвей|Кастэвей|Castaway|Castaway|Фиджи|Фиджи|-17.733332|-17.733332|177.126944|177.126944
CSU|CSU|||Santa Cruz Do Sul|Santa Cruz Do Sul|||Santa Cruz Do Sul|Santa Cruz Do Sul|Бразилия|Бразилия|-29.716666666667|-29.716666666667|-52.433333333333|-52.433333333333
CSV|CSV|||Memorial|Memorial|||Crossville|Crossville|США|США|35.951291|35.951291|-85.084976|-85.084976
CSW|CSW|||Colorado do Oeste|Colorado do Oeste|||Colorado do Oeste|Colorado do Oeste|Бразилия|Бразилия|-13.017|-13.017|-61.167|-61.167
CSX|CSX|Чангша|Чангша|Changsha|Changsha|Чанша|Чанша|Changsha|Changsha|Китай|Китай|28.190|28.190|113.218|113.218
CSY|CSY|Чебоксары|Чебоксары|Cheboksary|Cheboksary|Чебоксары|Чебоксары|Cheboksary|Cheboksary|Россия|Россия|56.090278|56.090278|47.347222|47.347222
CSZ|CSZ|||Brig D Hector Eduardo Ruiz|Brig D Hector Eduardo Ruiz|||Coronel Suarez|Coronel Suarez|Аргентина|Аргентина|-37.446111|-37.446111|-61.889297|-61.889297
CTA|CTA|||Fontanarossa|Fontanarossa|Катания|Катания|Catania|Catania|Италия|Италия|37.466781|37.466781|15.066400|15.066400
CTB|CTB|||Cut Bank|Cut Bank|||Cut Bank|Cut Bank|США|США|48.608355|48.608355|-112.376150|-112.376150
CTC|CTC|Катамарка|Катамарка|Catamarca|Catamarca|Катамарка|Катамарка|Catamarca|Catamarca|Аргентина|Аргентина|-28.593213|-28.593213|-65.750924|-65.750924
CTD|CTD|||Chitre|Chitre|||Chitre|Chitre|Панама|Панама|7.987836|7.987836|-80.409739|-80.409739
CTE|CTE|Карти|Карти|Carti|Carti|Карти|Карти|Carti|Carti|Панама|Панама|9.452778|9.452778|-78.979166|-78.979166
CTF|CTF|||Coatepeque Airport|Coatepeque Airport|||Coatepeque|Coatepeque|Гватемала|Гватемала|14.694167|14.694167|-91.882500|-91.882500
CTG|CTG|||Rafael Nunez|Rafael Nunez|Картегена|Картегена|Cartagena|Cartagena|Колумбия|Колумбия|10.442500|10.442500|-75.512777|-75.512777
CTH|CTH|||Chestercounty Carlson|Chestercounty Carlson|||Coatesville|Coatesville|США|США|39.978972|39.978972|-75.865471|-75.865471
CTI|CTI|Куито|Куито|Cuito Cuanavale|Cuito Cuanavale|Куито|Куито|Cuito Cuanavale|Cuito Cuanavale|Ангола|Ангола|-15.160277|-15.160277|19.156111|19.156111
CTK|CTK|||Canton|Canton|||Canton|Canton|США|США|43.309000|43.309000|-96.571216|-96.571216
CTL|CTL|||Charleville|Charleville|||Charleville|Charleville|Австралия|Австралия|-26.413333|-26.413333|146.262500|146.262500
CTM|CTM|Четумал|Четумал|Chetumal|Chetumal|Четумал|Четумал|Chetumal|Chetumal|Белиз|Белиз|18.504667|18.504667|-88.326846|-88.326846
CTN|CTN|Куктаун|Куктаун|Cooktown|Cooktown|Куктаун|Куктаун|Cooktown|Cooktown|Австралия|Австралия|-15.444721|-15.444721|145.184444|145.184444
CTO|CTO|||Peconic River|Peconic River|||Calverton|Calverton|США|США|40.915098|40.915098|-72.791905|-72.791905
CTP|CTP|||Carutapera|Carutapera|||Carutapera|Carutapera|Бразилия|Бразилия|-1.225555|-1.225555|-46.019166|-46.019166
CTQ|CTQ|||Do Palmar|Do Palmar|||Santa Vitoria|Santa Vitoria|Бразилия|Бразилия|-33.501666|-33.501666|-53.345000|-53.345000
CTR|CTR|Кэттл-Крик|Кэттл-Крик|Cattle Creek|Cattle Creek|Кэттл-Крик|Кэттл-Крик|Cattle Creek|Cattle Creek|Австралия|Австралия|-17.607499|-17.607499|131.549722|131.549722
CTS|CTS|||New Chitose Airport|New Chitose Airport|Саппоро|Саппоро|Sapporo|Sapporo|Япония|Япония|42.775200|42.775200|141.692283|141.692283
CTT|CTT|Ле-Кастейе|Ле-Кастейе|Le Castellet|Le Castellet|Ле-Кастейе|Ле-Кастейе|Le Castellet|Le Castellet|Франция|Франция|43.252222|43.252222|5.786111|5.786111
CTU|CTU|||Shuangliu|Shuangliu|Ченгду|Ченгду|Chengdu|Chengdu|Китай|Китай|30.580|30.580|103.948|103.948
CTW|CTW|||Cottonwood|Cottonwood|||Cottonwood|Cottonwood|США|США|34.730056|34.730056|-112.035136|-112.035136
CTX|CTX|||Cortland|Cortland|||Cortland|Cortland|США|США|42.592645|42.592645|-76.214883|-76.214883
CTY|CTY|||Cross City|Cross City|||Cross City|Cross City|США|США|29.635528|29.635528|-83.104749|-83.104749
CTZ|CTZ|||Sampson County|Sampson County|||Clinton|Clinton|США|США|34.974935|34.974935|-78.365629|-78.365629
CUA|CUA|Сиудад-Конститусьон|Сиудад-Конститусьон|Ciudad Constitucion|Ciudad Constitucion|Сиудад-Конститусьон|Сиудад-Конститусьон|Ciudad Constitucion|Ciudad Constitucion|Мексика|Мексика|25.053756|25.053756|-111.614882|-111.614882
CUB|CUB|||Owens Field|Owens Field|Колумбия|Колумбия|Columbia|Columbia|США|США|33.970472|33.970472|-80.995249|-80.995249
CUC|CUC|||Camilo Dazo|Camilo Dazo|||Cucuta|Cucuta|Колумбия|Колумбия|7.931389|7.931389|-72.514166|-72.514166
CUD|CUD|Калундра|Калундра|Caloundra|Caloundra|Калундра|Калундра|Caloundra|Caloundra|Австралия|Австралия|-26.803332|-26.803332|153.105000|153.105000
CUE|CUE|Куенка|Куенка|Cuenca|Cuenca|Куенка|Куенка|Cuenca|Cuenca|Эквадор|Эквадор|-2.889466|-2.889466|-78.984396|-78.984396
CUF|CUF|||Levaldigi|Levaldigi|Кунео|Кунео|Cuneo|Cuneo|Италия|Италия|44.547019|44.547019|7.623217|7.623217
CUG|CUG|||Cudal|Cudal|||Cudal|Cudal|Австралия|Австралия|-33.277777|-33.277777|148.763056|148.763056
CUH|CUH|||Municipal|Municipal|||Cushing|Cushing|США|США|35.950028|35.950028|-96.773416|-96.773416
CUI|CUI|Куррилло|Куррилло|Currillo|Currillo|Куррилло|Куррилло|Currillo|Currillo|Колумбия|Колумбия|4.667|4.667|-72.000|-72.000
CUJ|CUJ|Кулион|Кулион|Culion|Culion|Кулион|Кулион|Culion|Culion|Филиппины|Филиппины|11.855000|11.855000|119.937500|119.937500
CUK|CUK|||Caye Caulker|Caye Caulker|||Caye Caulker|Caye Caulker|Белиз|Белиз|17.734722|17.734722|-88.032500|-88.032500
CUL|CUL|||Fedl De Bachigualato|Fedl De Bachigualato|||Culiacan|Culiacan|Мексика|Мексика|24.764547|24.764547|-107.474716|-107.474716
CUM|CUM|Кумана|Кумана|Cumana|Cumana|Кумана|Кумана|Cumana|Cumana|Венесуэла|Венесуэла|10.450333|10.450333|-64.130471|-64.130471
CUN|CUN|||Cancъn International|Cancъn International|Канкун|Канкун|Cancun|Cancun|Мексика|Мексика|21.036528|21.036528|-86.877082|-86.877082
CUO|CUO|Каруру|Каруру|Caruru|Caruru|Каруру|Каруру|Caruru|Caruru|Колумбия|Колумбия|0.924993|0.924993|-70.771110|-70.771110
CUP|CUP|Карупано|Карупано|Carupano|Carupano|Карупано|Карупано|Carupano|Carupano|Венесуэла|Венесуэла|10.660014|10.660014|-63.261680|-63.261680
CUQ|CUQ|||Coen|Coen|||Coen|Coen|Австралия|Австралия|-13.760832|-13.760832|143.113611|143.113611
CUR|CUR|||Hato International Airport|Hato International Airport|||Curacao|Curacao|Нидерландские Антильские острова|Нидерландские Антильские острова|12.188853|12.188853|-68.959802|-68.959802
CUS|CUS|||Municipal|Municipal|||Columbus|Columbus|США|США|31.823711|31.823711|-107.626966|-107.626966
CUT|CUT|||Cutral|Cutral|||Cutral|Cutral|Аргентина|Аргентина|-38.939682|-38.939682|-69.264641|-69.264641
CUU|CUU|||Gen Fierro Villalobos|Gen Fierro Villalobos|Чихуахуа|Чихуахуа|Chihuahua|Chihuahua|Мексика|Мексика|28.702875|28.702875|-105.964566|-105.964566
CUV|CUV|||Casigua|Casigua|||Casigua|Casigua|Венесуэла|Венесуэла|8.756389|8.756389|-72.536588|-72.536588
CUW|CUW|||Cube Cove|Cube Cove|||Cube Cove|Cube Cove|США|США|58.35|58.35|-133.76666666667|-133.76666666667
CUX|CUX|||Cuddihy Field|Cuddihy Field|Корпус Кристи|Корпус Кристи|Corpus Christi|Corpus Christi|США|США|27.721142|27.721142|-97.512771|-97.512771
CUY|CUY|||Cue|Cue|||Cue|Cue|Австралия|Австралия|-27.451666|-27.451666|117.917500|117.917500
CUZ|CUZ|||Velazco Astete|Velazco Astete|Куско|Куско|Cuzco|Cuzco|Перу|Перу|-13.535721|-13.535721|-71.938777|-71.938777
CVA|CVA|||Civic Ar Heli|Civic Ar Heli|Питтсборо|Питтсборо|Pittsburgh|Pittsburgh|США|США|0|0|0|0
CVB|CVB|||Chungribu|Chungribu|||Chungribu|Chungribu|Папуа - Новая Гвинея|Папуа - Новая Гвинея|-4.800|-4.800|144.700|144.700
CVC|CVC|||Cleve|Cleve|||Cleve|Cleve|Австралия|Австралия|-33.709721|-33.709721|136.504722|136.504722
CVE|CVE|Ковенас|Ковенас|Covenas|Covenas|Ковенас|Ковенас|Covenas|Covenas|Колумбия|Колумбия|9.400925|9.400925|-75.691316|-75.691316
CVF|CVF|Куршевель|Куршевель|Courchevel|Courchevel|Куршевель|Куршевель|Courchevel|Courchevel|Франция|Франция|45.396667|45.396667|6.633611|6.633611
CVG|CVG|||Cincinnati/northern Kentucky|Cincinnati/northern Kentucky|||Covington, KY|Covington, KY|США|США|39.048837|39.048837|-84.667820|-84.667820
CVH|CVH|Кавиахуэ|Кавиахуэ|Caviahue|Caviahue|Кавиахуэ|Кавиахуэ|Caviahue|Caviahue|Аргентина|Аргентина|-37.851374|-37.851374|-71.009246|-71.009246
CVI|CVI|Калета-Оливия|Калета-Оливия|Caleta Olivia|Caleta Olivia|Калета-Оливия|Калета-Оливия|Caleta Olivia|Caleta Olivia|Аргентина|Аргентина|-46.433|-46.433|-67.517|-67.517
CVJ|CVJ|||General Mariano Matamoros Airport|General Mariano Matamoros Airport|Куернавака|Куернавака|Cuernavaca|Cuernavaca|Мексика|Мексика|18.834764|18.834764|-99.261300|-99.261300
CVL|CVL|Кейп-Вогель|Кейп-Вогель|Cape Vogel|Cape Vogel|Кейп-Вогель|Кейп-Вогель|Cape Vogel|Cape Vogel|Папуа - Новая Гвинея|Папуа - Новая Гвинея|-9.667|-9.667|150.017|150.017
CVM|CVM|Сиудад-Виктория|Сиудад-Виктория|Ciudad Victoria|Ciudad Victoria|Сиудад-Виктория|Сиудад-Виктория|Ciudad Victoria|Ciudad Victoria|Мексика|Мексика|23.703336|23.703336|-98.956485|-98.956485
CVN|CVN|||Municipal|Municipal|||Clovis|Clovis|США|США|34.426590|34.426590|-103.077579|-103.077579
CVO|CVO|Олбани|Олбани|Albany|Albany|Олбани|Олбани|Albany|Albany|США|США|44.496876|44.496876|-123.289456|-123.289456
CVQ|CVQ|||Carnarvon|Carnarvon|||Carnarvon|Carnarvon|Австралия|Австралия|-24.880555|-24.880555|113.672222|113.672222
CVR|CVR|||Hughes|Hughes|||Culver City|Culver City|США|США|34.016666666667|34.016666666667|-118.4|-118.4
CVS|CVS|||Cannon AFB|Cannon AFB|||Clovis|Clovis|США|США|34.382775|34.382775|-103.322150|-103.322150
CVT|CVT|||West Midlands International|West Midlands International|||Coventry|Coventry|Великобритания|Великобритания|52.369722|52.369722|-1.479721|-1.479721
CVU|CVU|||Corvo Island|Corvo Island|||Corvo Island|Corvo Island|Португалия|Португалия|39.671389|39.671389|-31.116666|-31.116666
CWA|CWA|||Central Wisconsin|Central Wisconsin|||Wausau|Wausau|США|США|44.777624|44.777624|-89.666778|-89.666778
CWB|CWB|||Afonso Pena International Airport|Afonso Pena International Airport|Куритиба|Куритиба|Curitiba|Curitiba|Бразилия|Бразилия|-25.528474|-25.528474|-49.175774|-49.175774
CWC|CWC|Черновцы|Черновцы|Chernovtsy|Chernovtsy|Черновцы|Черновцы|Chernovtsy|Chernovtsy|Украина|Украина|48.259322|48.259322|25.980831|25.980831
CWG|CWG|||Callaway Gardens|Callaway Gardens|||Callaway Gardens|Callaway Gardens|США|США|32.833333333333|32.833333333333|-84.883333333333|-84.883333333333
CWI|CWI|||Clinton|Clinton|||Clinton|Clinton|США|США|41.830750|41.830750|-90.328971|-90.328971
CWL|CWL|||Cardiff-wales Arpt|Cardiff-wales Arpt|||Cardiff|Cardiff|Великобритания|Великобритания|51.396667|51.396667|-3.343332|-3.343332
CWO|CWO|||Ft Wolter AAF|Ft Wolter AAF|||Mineral Wells|Mineral Wells|Индонезия|Индонезия|-5.1333333333333|-5.1333333333333|137.53333333333|137.53333333333
CWP|CWP|Кампбеллпур|Кампбеллпур|Campbellpore|Campbellpore|Кампбеллпур|Кампбеллпур|Campbellpore|Campbellpore|Пакистан|Пакистан|33.867|33.867|72.400|72.400
CWR|CWR|||Cowarie|Cowarie|||Cowarie|Cowarie|Австралия|Австралия|-27.712777|-27.712777|138.328056|138.328056
CWS|CWS|||Center Island|Center Island|||Center Island|Center Island|Китай|Китай|48.490101|48.490101|-122.832120|-122.832120
CWT|CWT|||Cowra|Cowra|||Cowra|Cowra|Австралия|Австралия|-33.844721|-33.844721|148.648889|148.648889
CWW|CWW|||Corowa|Corowa|||Corowa|Corowa|Австралия|Австралия|-35.994721|-35.994721|146.356667|146.356667
CXA|CXA|||Caicara Del Orinoco|Caicara Del Orinoco|||Caicara Del Orinoco|Caicara Del Orinoco|Венесуэла|Венесуэла|7.626078|7.626078|-66.164916|-66.164916
CXC|CXC|||Chitina Arpt|Chitina Arpt|||Chitina|Chitina|США|США|61.583203|61.583203|-144.429802|-144.429802
CXF|CXF|||Coldfoot|Coldfoot|||Coldfoot|Coldfoot|США|США|67.252171|67.252171|-150.203907|-150.203907
CXH|CXH|||Coal Harbour|Coal Harbour|Ванкувер|Ванкувер|Vancouver|Vancouver|Канада|Канада|49.289722|49.289722|-123.115833|-123.115833
CXI|CXI|||Cassidy International Airport|Cassidy International Airport|||Christmas Island|Christmas Island|Кирибати|Кирибати|1.986161|1.986161|-157.349777|-157.349777
CXJ|CXJ|||Campo Dos Bugres|Campo Dos Bugres|Касьяс ду Суль|Касьяс ду Суль|Caxias Do Sul|Caxias Do Sul|Бразилия|Бразилия|-29.197063|-29.197063|-51.187535|-51.187535
CXL|CXL|||International|International|||Calexico|Calexico|США|США|32.667444|32.667444|-115.517582|-115.517582
CXN|CXN|Кандала|Кандала|Candala|Candala|Кандала|Кандала|Candala|Candala|Сомали|Сомали|11.494444|11.494444|49.908889|49.908889
CXO|CXO|||Montgomery Co|Montgomery Co|||Conroe|Conroe|США|США|30.353396|30.353396|-95.415081|-95.415081
CXP|CXP|||Tunggul Wulung|Tunggul Wulung|||Cilacap|Cilacap|Индонезия|Индонезия|-7.644443|-7.644443|109.034722|109.034722
CXQ|CXQ|||Christmas Creek|Christmas Creek|||Christmas Creek|Christmas Creek|Австралия|Австралия|-18.883|-18.883|125.917|125.917
CXR|CXR|||Nah Trang (No longer in operation)|Nah Trang (No longer in operation)|Нха Транг|Нха Транг|Nha Trang|Nha Trang|Вьетнам|Вьетнам|11.998153|11.998153|109.219372|109.219372
CXT|CXT|||Charters Towers|Charters Towers|||Charters Towers|Charters Towers|Австралия|Австралия|-20.043055|-20.043055|146.273056|146.273056
CXY|CXY|||Cat Cays|Cat Cays|||Cat Cays|Cat Cays|Багамские острова|Багамские острова|25.568|25.568|-79.292|-79.292
CYA|CYA|Лес-Кейес|Лес-Кейес|Les Cayes|Les Cayes|Лес-Кейес|Лес-Кейес|Les Cayes|Les Cayes|Гаити|Гаити|18.271103|18.271103|-73.788289|-73.788289
CYB|CYB|||Gerrard-Smith|Gerrard-Smith|||Cayman Brac Is|Cayman Brac Is|Каймановы острова|Каймановы острова|19.686983|19.686983|-79.882805|-79.882805
CYC|CYC|Кайе-Чапел|Кайе-Чапел|Caye Chapel|Caye Chapel|Кайе-Чапел|Кайе-Чапел|Caye Chapel|Caye Chapel|Белиз|Белиз|17.683889|17.683889|-88.044999|-88.044999
CYE|CYE|||Crystal Lake|Crystal Lake|||Crystal Lake|Crystal Lake|США|США|41.210277777778|41.210277777778|-75.832222222222|-75.832222222222
CYF|CYF|||Chefornak SPB|Chefornak SPB|||Chefornak|Chefornak|США|США|60.136806|60.136806|-164.279055|-164.279055
CYG|CYG|||Corryong|Corryong|||Corryong|Corryong|Австралия|Австралия|-36.182777|-36.182777|147.887778|147.887778
CYI|CYI|Чиайи|Чиайи|Chiayi|Chiayi|Чиайи|Чиайи|Chiayi|Chiayi|Тайвань|Тайвань|23.461779|23.461779|120.392830|120.392830
CYL|CYL|Койолес|Койолес|Coyoles|Coyoles|Койолес|Койолес|Coyoles|Coyoles|Гондурас|Гондурас|15.445278|15.445278|-86.676110|-86.676110
CYM|CYM|||Chatham SPB|Chatham SPB|||Chatham|Chatham|Канада|Канада|57.514938|57.514938|-134.946214|-134.946214
CYO|CYO|Кайо Ларго Дель Сур|Кайо Ларго Дель Сур|Cayo Largo Del Sur|Cayo Largo Del Sur|Кайо Ларго Дель Сур|Кайо Ларго Дель Сур|Cayo Largo Del Sur|Cayo Largo Del Sur|Куба|Куба|21.616111|21.616111|-81.545555|-81.545555
CYP|CYP|Калбайог|Калбайог|Calbayog|Calbayog|Калбайог|Калбайог|Calbayog|Calbayog|Филиппины|Филиппины|12.072706|12.072706|124.545092|124.545092
CYR|CYR|||Laguna De Los Patos|Laguna De Los Patos|Колония|Колония|Colonia|Colonia|Уругвай|Уругвай|-34.456407|-34.456407|-57.770616|-57.770616
CYS|CYS|Чейнни|Чейнни|Cheyenne|Cheyenne|Чейнни|Чейнни|Cheyenne|Cheyenne|США|США|41.155639|41.155639|-104.810471|-104.810471
CYT|CYT|||Intermediate|Intermediate|||Yakataga|Yakataga|США|США|60.080849|60.080849|-142.495493|-142.495493
CYU|CYU|||Cuyo|Cuyo|||Cuyo|Cuyo|Филиппины|Филиппины|10.858611|10.858611|121.069722|121.069722
CYX|CYX|Якут|Якут|Yakut|Yakut|Черский|Черский|Cherskiy|Cherskiy|Россия|Россия|68.741389|68.741389|161.339722|161.339722
CYZ|CYZ|Кауаян|Кауаян|Cauayan|Cauayan|Кауаян|Кауаян|Cauayan|Cauayan|Филиппины|Филиппины|16.929861|16.929861|121.753036|121.753036
CZA|CZA|Чинчен Ица|Чинчен Ица|Chichen Itza|Chichen Itza|Чинчен Ица|Чинчен Ица|Chichen Itza|Chichen Itza|Мексика|Мексика|20.641294|20.641294|-88.446218|-88.446218
CZB|CZB|||Carlos Ruhl|Carlos Ruhl|||Cruz Alta|Cruz Alta|Бразилия|Бразилия|-28.657777|-28.657777|-53.610555|-53.610555
CZC|CZC|||Copper Centre|Copper Centre|||Copper Centre|Copper Centre|Италия|Италия|61.941190|61.941190|-145.294081|-145.294081
CZE|CZE|Коро|Коро|Coro|Coro|Коро|Коро|Coro|Coro|Венесуэла|Венесуэла|11.414867|11.414867|-69.681655|-69.681655
CZF|CZF|||Cape Romanzof|Cape Romanzof|||Cape Romanzof|Cape Romanzof|США|США|61.781014|61.781014|-166.039574|-166.039574
CZH|CZH|Коросал|Коросал|Corozal|Corozal|Корозал|Корозал|Corozal|Corozal|Белиз|Белиз|18.381667|18.381667|-88.411666|-88.411666
CZJ|CZJ|||Corazon De Jesus|Corazon De Jesus|||Corazon De Jesus|Corazon De Jesus|Панама|Панама|9.433|9.433|-78.583|-78.583
CZK|CZK|||Cascade Locks/Stevens|Cascade Locks/Stevens|||Cascade Locks|Cascade Locks|США|США|45.676944|45.676944|-121.878888|-121.878888
CZL|CZL|||Ain El Bey|Ain El Bey|||Constantine|Constantine|Алжир|Алжир|36.285278|36.285278|6.619167|6.619167
CZM|CZM|Коцумел|Коцумел|Cozumel|Cozumel|Коцумел|Коцумел|Cozumel|Cozumel|Мексика|Мексика|20.522403|20.522403|-86.925643|-86.925643
CZN|CZN|||Chisana Field|Chisana Field|||Chisana|Chisana|США|США|62.071750|62.071750|-142.049349|-142.049349
CZO|CZO|||Chistochina|Chistochina|||Chistochina|Chistochina|США|США|62.562333|62.562333|-144.672443|-144.672443
CZP|CZP|||Cape Pole|Cape Pole|||Cape Pole|Cape Pole|США|США|55.966290|55.966290|-133.796720|-133.796720
CZS|CZS|||Intl. Airpt. Cruzeiro Do Sul|Intl. Airpt. Cruzeiro Do Sul|||Cruzeiro Do Sul|Cruzeiro Do Sul|Бразилия|Бразилия|-7.599905|-7.599905|-72.769488|-72.769488
CZT|CZT|||Carrizo Springs|Carrizo Springs|||Carrizo Springs|Carrizo Springs|США|США|28.522250|28.522250|-99.823638|-99.823638
CZU|CZU|Коросал|Коросал|Corozal|Corozal|Корозал|Корозал|Corozal|Corozal|Колумбия|Колумбия|9.333333|9.333333|-75.283332|-75.283332
CZW|CZW|Честокова|Честокова|Czestochowa|Czestochowa|Щесточова|Щесточова|Czestochowa|Czestochowa|Польша|Польша|50.885000|50.885000|19.204722|19.204722
CZX|CZX|Чангзу|Чангзу|Changzhou|Changzhou|Чангзу|Чангзу|Changzhou|Changzhou|Китай|Китай|31.919722|31.919722|119.778611|119.778611
CZY|CZY|||Cluny|Cluny|||Cluny|Cluny|Австралия|Австралия|-24.511388|-24.511388|139.617500|139.617500
CZZ|CZZ|||Campo|Campo|||Campo|Campo|Гаити|Гаити|18.45|18.45|-72.1|-72.1
DAA|DAA|||Davison AAF|Davison AAF|||Fort Belvoir|Fort Belvoir|США|США|38.715000|38.715000|-77.181000|-77.181000
DAB|DAB|||Regional|Regional|Дайтона Бич|Дайтона Бич|Daytona Beach|Daytona Beach|США|США|29.179909|29.179909|-81.058041|-81.058041
DAC|DAC|||Zia International|Zia International|||Dhaka|Dhaka|Бангладеш|Бангладеш|23.842778|23.842778|90.400556|90.400556
DAD|DAD|Да-Нанг|Да-Нанг|Da Nang|Da Nang|Да-Нанг|Да-Нанг|Da Nang|Da Nang|Вьетнам|Вьетнам|16.043917|16.043917|108.199370|108.199370
DAE|DAE|Дапаризо|Дапаризо|Daparizo|Daparizo|Дапаризо|Дапаризо|Daparizo|Daparizo|Индия|Индия|27.985|27.985|94.223|94.223
DAF|DAF|Доп|Доп|Daup|Daup|Доп|Доп|Daup|Daup|Папуа - Новая Гвинея|Папуа - Новая Гвинея|-4.917|-4.917|145.967|145.967
DAG|DAG|||Barstow-Daggett|Barstow-Daggett|||Daggett|Daggett|США|США|34.853722|34.853722|-116.786693|-116.786693
DAH|DAH|Датина|Датина|Dathina|Dathina|Датина|Датина|Dathina|Dathina|Йемен|Йемен|13.867|13.867|46.133|46.133
DAI|DAI|Дарджилинг|Дарджилинг|Darjeeling|Darjeeling|Дарцзилин|Дарцзилин|Darjeeling|Darjeeling|Индия|Индия|26.75|26.75|88.25|88.25
DAJ|DAJ|||Dauan Island|Dauan Island|||Dauan Island|Dauan Island|Австралия|Австралия|-9.418|-9.418|142.542|142.542
DAK|DAK|||Dakhla|Dakhla|||Dakhla Oasis|Dakhla Oasis|Египет|Египет|25.411608|25.411608|29.003058|29.003058
DAL|DAL|||Love Field|Love Field|Даллас|Даллас|Dallas|Dallas|США|США|32.845945|32.845945|-96.850876|-96.850876
DAM|DAM|||International|International|Дамаск|Дамаск|Damascus|Damascus|Сирия|Сирия|33.410636|33.410636|36.514267|36.514267
DAN|DAN|||Municipal|Municipal|||Danville|Danville|США|США|36.572472|36.572472|-79.336249|-79.336249
DAO|DAO|||Dabo|Dabo|||Dabo|Dabo|Эритрея|Эритрея|13.133333333333|13.133333333333|42.166666666667|42.166666666667
DAP|DAP|Дарчула|Дарчула|Darchula|Darchula|Дарчула|Дарчула|Darchula|Darchula|Непал|Непал|29.669186|29.669186|80.548416|80.548416
DAR|DAR|||International|International|||Dar Es Salaam|Dar Es Salaam|Танзания|Танзания|-6.878110|-6.878110|39.202625|39.202625
DAS|DAS|||Great Bear Lake|Great Bear Lake|||Great Bear Lake|Great Bear Lake|Канада|Канада|66|66|-1|-1
DAT|DAT|Датон|Датон|Datong|Datong|Датонг|Датонг|Datong|Datong|Китай|Китай|40.060278|40.060278|113.482222|113.482222
DAU|DAU|Дару|Дару|Daru|Daru|Дару|Дару|Daru|Daru|Папуа - Новая Гвинея|Папуа - Новая Гвинея|-9.086755|-9.086755|143.207939|143.207939
DAV|DAV|||Enrique Malek|Enrique Malek|Давид|Давид|David|David|Панама|Панама|8.391003|8.391003|-82.434991|-82.434991
DAX|DAX|Дэцзян|Дэцзян|Daxian|Daxian|Дэцзян|Дэцзян|Daxian|Daxian|Китай|Китай|31.130278|31.130278|107.429167|107.429167
DAY|DAY|||James Cox Dayton Intl|James Cox Dayton Intl|||Dayton, Oh|Dayton, Oh|США|США|39.902252|39.902252|-84.219411|-84.219411
DAZ|DAZ|Дарваз|Дарваз|Darwaz|Darwaz|Дарваз|Дарваз|Darwaz|Darwaz|Афганистан|Афганистан|38.461703|38.461703|70.881783|70.881783
DBA|DBA|Далбандин|Далбандин|Dalbandin|Dalbandin|Далбандин|Далбандин|Dalbandin|Dalbandin|Пакистан|Пакистан|28.875278|28.875278|64.403889|64.403889
DBB|DBB|||Alalamain Intl.|Alalamain Intl.|||Dabaa City|Dabaa City|Египет|Египет|30.15|30.15|28.083333333333|28.083333333333
DBD|DBD|Дханбад|Дханбад|Dhanbad|Dhanbad|Дханбад|Дханбад|Dhanbad|Dhanbad|Индия|Индия|23.834044|23.834044|86.425261|86.425261
DBM|DBM|Дебра-Маркос|Дебра-Маркос|Debra Marcos|Debra Marcos|Дебра-Маркос|Дебра-Маркос|Debra Marcos|Debra Marcos|Эфиопия|Эфиопия|10.321111|10.321111|37.741667|37.741667
DBN|DBN|||Municipal|Municipal|Дублин|Дублин|Dublin|Dublin|США|США|32.564722|32.564722|-82.984971|-82.984971
DBO|DBO|Дуббо|Дуббо|Dubbo|Dubbo|Дуббо|Дуббо|Dubbo|Dubbo|Австралия|Австралия|-32.216666|-32.216666|148.574722|148.574722
DBP|DBP|||Debepare|Debepare|||Debepare|Debepare|Папуа - Новая Гвинея|Папуа - Новая Гвинея|-6.300|-6.300|141.900|141.900
DBQ|DBQ|||Municipal|Municipal|Дюбюк|Дюбюк|Dubuque|Dubuque|США|США|42.402000|42.402000|-90.709471|-90.709471
DBS|DBS|||Dubois|Dubois|||Dubois|Dubois|США|США|44.162361|44.162361|-112.220666|-112.220666
DBT|DBT|Дебра-Табор|Дебра-Табор|Debra Tabor|Debra Tabor|Дебра-Табор|Дебра-Табор|Debra Tabor|Debra Tabor|Эфиопия|Эфиопия|11.967|11.967|38.000|38.000
